second_in_013,studio_bps,sdk_bps
0,51424560.0,50444528.0
1,47306608.0,62813512.0
2,54588376.0,48130360.0
3,45042424.0,57706088.0
4,52361944.0,57378336.0
5,52278072.0,44366360.0
6,49914360.0,50074872.0
7,50856296.0,49853496.0
8,46275072.0,50326936.0
9,58031712.0,51103464.0
10,47244440.0,47168000.0
11,47381304.0,49428368.0
12,49389168.0,57226144.0
13,50453920.0,45383616.0
14,52728400.0,49874600.0
15,46235600.0,50028656.0
16,46735048.0,50360224.0
17,55552016.0,51007560.0
18,49699072.0,46475520.0
19,52292440.0,51350392.0
20,45892040.0,52147352.0
21,50100360.0,48979144.0
22,52599128.0,45294032.0
23,47679392.0,55800648.0
24,52436384.0,47361400.0
25,44900624.0,50445816.0
26,54165648.0,49448560.0
27,47730120.0,52133816.0
28,49487528.0,47735952.0
29,51282544.0,50120600.0
30,51169528.0,51405328.0
31,52852088.0,51023288.0
32,48273376.0,50000752.0
33,45556872.0,48533416.0
34,51237408.0,51026856.0
35,53891824.0,52137064.0
36,45075200.0,48119280.0
37,52236064.0,49096344.0
38,50649192.0,50313048.0
39,49452464.0,50400216.0
40,65017432.0,49582016.0
41,38148936.0,50771584.0
42,48889912.0,48615800.0
43,52656944.0,52096328.0
44,48261168.0,50806600.0
45,49973648.0,48854536.0
46,48664808.0,49380856.0
47,53343584.0,50800432.0
48,46515040.0,76317264.0
49,49941144.0,45362616.0
50,52662184.0,52509040.0
51,49030984.0,52030704.0
52,48538648.0,52029752.0
53,51256664.0,44918264.0
54,48750184.0,49752016.0
55,49377824.0,50907168.0
56,50414624.0,52991168.0
57,52767720.0,44771328.0
58,45610456.0,36923384.0
59,49990616.0,44089752.0
60,48730448.0,45396512.0
61,47406000.0,50045880.0
62,53763136.0,48060352.0
63,50538712.0,53546216.0
64,50024984.0,50469064.0
65,53445888.0,54626936.0
66,45172392.0,59706952.0
67,51430688.0,51832960.0
68,50366488.0,36410816.0
69,48227688.0,46490976.0
70,50952424.0,49674232.0
71,46451192.0,50557088.0
72,51420592.0,48732480.0
73,53900008.0,49937600.0
74,50062488.0,50683936.0
75,49255224.0,52676232.0
76,48862240.0,47014792.0
77,49469984.0,46986272.0
78,52106224.0,55875672.0
79,49605544.0,48331536.0
80,49510640.0,50188224.0
81,45296112.0,47880480.0
82,57018120.0,49395704.0
83,46994232.0,52719728.0
84,50785768.0,50195112.0
85,48300720.0,48674728.0
86,51174888.0,51096600.0
87,53653136.0,48307240.0
88,46562120.0,51433352.0
89,52394280.0,50903232.0
90,46201640.0,48846472.0
91,48051576.0,48120072.0
92,54912200.0,53278288.0
93,48757752.0,50087600.0
94,51868480.0,49547840.0
95,49873640.0,50124096.0
96,44971984.0,47891648.0
97,55632704.0,51037008.0
98,53043784.0,50722496.0
99,59434152.0,48574168.0
100,48650320.0,46433200.0
101,38157840.0,51058792.0
102,57629968.0,50374080.0
103,44656512.0,49256208.0
104,47405672.0,51489800.0
105,47881016.0,49578384.0
106,50254208.0,53004272.0
107,52554664.0,49895568.0
108,47834552.0,59740816.0
109,50991512.0,53533528.0
110,50832968.0,54520216.0
111,47921632.0,35372440.0
112,51429184.0,48884312.0
113,50992672.0,46695536.0
114,50111472.0,50088944.0
115,48564512.0,49480160.0
116,48775264.0,50613352.0
117,50731048.0,52074856.0
118,48735040.0,48638848.0
119,53209288.0,48426416.0
120,50874296.0,53618984.0
121,48685936.0,45863064.0
122,45604336.0,47551056.0
123,53390184.0,49466328.0
124,50936848.0,55418960.0
125,46180880.0,49200968.0
126,49837344.0,51953144.0
127,50480792.0,47662544.0
128,49966616.0,52016112.0
129,53735232.0,51681752.0
130,48308344.0,48420912.0
131,52857248.0,51042888.0
132,53448144.0,73669088.0
133,43385064.0,45896904.0
134,46733896.0,57233000.0
135,54184024.0,44479400.0
136,49352104.0,49373944.0
137,49791080.0,50026024.0
138,50757176.0,48942240.0
139,49929464.0,57908920.0
140,48543440.0,45106256.0
141,48190784.0,49400904.0
142,54517776.0,49007192.0
143,48497392.0,48951024.0
144,50417632.0,57536776.0
145,50105832.0,45682160.0
146,49104144.0,51242504.0
147,50508128.0,50209928.0
