second,bits,complete_second
0,50444528,True
1,62813512,True
2,48130360,True
3,57706088,True
4,57378336,True
5,44366360,True
6,50074872,True
7,49853496,True
8,50326936,True
9,51103464,True
10,47168000,True
11,49428368,True
12,57226144,True
13,45383616,True
14,49874600,True
15,50028656,True
16,50360224,True
17,51007560,True
18,46475520,True
19,51350392,True
20,52147352,True
21,48979144,True
22,45294032,True
23,55800648,True
24,47361400,True
25,50445816,True
26,49448560,True
27,52133816,True
28,47735952,True
29,50120600,True
30,51405328,True
31,51023288,True
32,50000752,True
33,48533416,True
34,51026856,True
35,52137064,True
36,48119280,True
37,49096344,True
38,50313048,True
39,50400216,True
40,49582016,True
41,50771584,True
42,48615800,True
43,52096328,True
44,50806600,True
45,48854536,True
46,49380856,True
47,50800432,True
48,76317264,True
49,45362616,True
50,52509040,True
51,52030704,True
52,52029752,True
53,44918264,True
54,49752016,True
55,50907168,True
56,52991168,True
57,44771328,True
58,36923384,True
59,44089752,True
60,45396512,True
61,50045880,True
62,48060352,True
63,53546216,True
64,50469064,True
65,54626936,True
66,59706952,True
67,51832960,True
68,36410816,True
69,46490976,True
70,49674232,True
71,50557088,True
72,48732480,True
73,49937600,True
74,50683936,True
75,52676232,True
76,47014792,True
77,46986272,True
78,55875672,True
79,48331536,True
80,50188224,True
81,47880480,True
82,49395704,True
83,52719728,True
84,50195112,True
85,48674728,True
86,51096600,True
87,48307240,True
88,51433352,True
89,50903232,True
90,48846472,True
91,48120072,True
92,53278288,True
93,50087600,True
94,49547840,True
95,50124096,True
96,47891648,True
97,51037008,True
98,50722496,True
99,48574168,True
100,46433200,True
101,51058792,True
102,50374080,True
103,49256208,True
104,51489800,True
105,49578384,True
106,53004272,True
107,49895568,True
108,59740816,True
109,53533528,True
110,54520216,True
111,35372440,True
112,48884312,True
113,46695536,True
114,50088944,True
115,49480160,True
116,50613352,True
117,52074856,True
118,48638848,True
119,48426416,True
120,53618984,True
121,45863064,True
122,47551056,True
123,49466328,True
124,55418960,True
125,49200968,True
126,51953144,True
127,47662544,True
128,52016112,True
129,51681752,True
130,48420912,True
131,51042888,True
132,73669088,True
133,45896904,True
134,57233000,True
135,44479400,True
136,49373944,True
137,50026024,True
138,48942240,True
139,57908920,True
140,45106256,True
141,49400904,True
142,49007192,True
143,48951024,True
144,57536776,True
145,45682160,True
146,51242504,True
147,50209928,True
148,52410224,True
149,49489008,True
150,34360056,True
151,353880,False
