second_in_013,studio_bps,sdk_bps
0,51424560.0,48518656.0
1,47306608.0,55900280.0
2,54588376.0,52773608.0
3,45042424.0,55979992.0
4,52361944.0,51734224.0
5,52278072.0,48371728.0
6,49914360.0,50823352.0
7,50856296.0,48781008.0
8,46275072.0,52707640.0
9,58031712.0,54068664.0
10,47244440.0,51660816.0
11,47381304.0,50257712.0
12,49389168.0,49989008.0
13,50453920.0,49418136.0
14,52728400.0,50908856.0
15,46235600.0,46723024.0
16,46735048.0,48110696.0
17,55552016.0,49516760.0
18,49699072.0,49254184.0
19,52292440.0,53336776.0
20,45892040.0,53755032.0
21,50100360.0,47565848.0
22,52599128.0,48744656.0
23,47679392.0,48273512.0
24,52436384.0,48989824.0
25,44900624.0,51400648.0
26,54165648.0,49958936.0
27,47730120.0,51237512.0
28,49487528.0,49418176.0
29,51282544.0,47815216.0
30,51169528.0,49286672.0
31,52852088.0,52221368.0
32,48273376.0,49916272.0
33,45556872.0,50312360.0
34,51237408.0,52057096.0
35,53891824.0,49024008.0
36,45075200.0,47426640.0
37,52236064.0,51269488.0
38,50649192.0,50010056.0
39,49452464.0,47343192.0
40,65017432.0,51784416.0
41,38148936.0,49211648.0
42,48889912.0,51138984.0
43,52656944.0,49630088.0
44,48261168.0,48944584.0
45,49973648.0,50194320.0
46,48664808.0,51151400.0
47,53343584.0,48862528.0
48,46515040.0,50033528.0
49,49941144.0,52645304.0
50,52662184.0,49119216.0
51,49030984.0,48355488.0
52,48538648.0,52542296.0
53,51256664.0,51641664.0
54,48750184.0,47686856.0
55,49377824.0,51326760.0
56,50414624.0,49227248.0
57,52767720.0,51640504.0
58,45610456.0,50654224.0
59,49990616.0,46985208.0
60,48730448.0,49825168.0
61,47406000.0,48862776.0
62,53763136.0,49939600.0
63,50538712.0,52131584.0
64,50024984.0,48753192.0
65,53445888.0,49201096.0
66,45172392.0,50946864.0
67,51430688.0,52254144.0
68,50366488.0,52336176.0
69,48227688.0,46834312.0
70,50952424.0,47870480.0
71,46451192.0,48101984.0
72,51420592.0,49117576.0
73,53900008.0,52917000.0
74,50062488.0,50362056.0
75,49255224.0,48468840.0
76,48862240.0,49963192.0
77,49469984.0,51443048.0
78,52106224.0,50140368.0
79,49605544.0,49823864.0
80,49510640.0,46463744.0
81,45296112.0,53787784.0
82,57018120.0,50304872.0
83,46994232.0,48494184.0
84,50785768.0,50304048.0
85,48300720.0,50494368.0
86,51174888.0,48104984.0
87,53653136.0,49896000.0
88,46562120.0,48794216.0
89,52394280.0,49943136.0
90,46201640.0,53972448.0
91,48051576.0,51152536.0
92,54912200.0,48517760.0
93,48757752.0,50980152.0
94,51868480.0,52115472.0
95,49873640.0,51995984.0
96,44971984.0,49354664.0
97,55632704.0,49872024.0
98,53043784.0,48873600.0
99,59434152.0,50369960.0
100,48650320.0,49423968.0
101,38157840.0,47637160.0
102,57629968.0,49624624.0
103,44656512.0,49304616.0
104,47405672.0,50178368.0
105,47881016.0,53005520.0
106,50254208.0,48869632.0
107,52554664.0,47722272.0
108,47834552.0,50221904.0
109,50991512.0,51530912.0
110,50832968.0,48907376.0
111,47921632.0,49000656.0
112,51429184.0,50900208.0
113,50992672.0,51144336.0
114,50111472.0,51585256.0
115,48564512.0,50615960.0
116,48775264.0,51306024.0
117,50731048.0,47894000.0
118,48735040.0,48393848.0
119,53209288.0,50022984.0
120,50874296.0,45549512.0
121,48685936.0,50095672.0
122,45604336.0,52603120.0
123,53390184.0,51280496.0
124,50936848.0,54188576.0
125,46180880.0,51810704.0
126,49837344.0,50706072.0
127,50480792.0,50282648.0
128,49966616.0,49728304.0
129,53735232.0,46591984.0
130,48308344.0,46381888.0
131,52857248.0,49542240.0
132,53448144.0,49529984.0
133,43385064.0,49515104.0
134,46733896.0,47877912.0
135,54184024.0,48766944.0
136,49352104.0,52401080.0
137,49791080.0,51991400.0
138,50757176.0,48018568.0
139,49929464.0,50930312.0
140,48543440.0,52742632.0
141,48190784.0,46627336.0
142,54517776.0,50986944.0
143,48497392.0,49916144.0
144,50417632.0,50718000.0
145,50105832.0,54115568.0
146,49104144.0,47781824.0
147,50508128.0,48307616.0
