second,bits,complete_second
0,48518656,True
1,55900280,True
2,52773608,True
3,55979992,True
4,51734224,True
5,48371728,True
6,50823352,True
7,48781008,True
8,52707640,True
9,54068664,True
10,51660816,True
11,50257712,True
12,49989008,True
13,49418136,True
14,50908856,True
15,46723024,True
16,48110696,True
17,49516760,True
18,49254184,True
19,53336776,True
20,53755032,True
21,47565848,True
22,48744656,True
23,48273512,True
24,48989824,True
25,51400648,True
26,49958936,True
27,51237512,True
28,49418176,True
29,47815216,True
30,49286672,True
31,52221368,True
32,49916272,True
33,50312360,True
34,52057096,True
35,49024008,True
36,47426640,True
37,51269488,True
38,50010056,True
39,47343192,True
40,51784416,True
41,49211648,True
42,51138984,True
43,49630088,True
44,48944584,True
45,50194320,True
46,51151400,True
47,48862528,True
48,50033528,True
49,52645304,True
50,49119216,True
51,48355488,True
52,52542296,True
53,51641664,True
54,47686856,True
55,51326760,True
56,49227248,True
57,51640504,True
58,50654224,True
59,46985208,True
60,49825168,True
61,48862776,True
62,49939600,True
63,52131584,True
64,48753192,True
65,49201096,True
66,50946864,True
67,52254144,True
68,52336176,True
69,46834312,True
70,47870480,True
71,48101984,True
72,49117576,True
73,52917000,True
74,50362056,True
75,48468840,True
76,49963192,True
77,51443048,True
78,50140368,True
79,49823864,True
80,46463744,True
81,53787784,True
82,50304872,True
83,48494184,True
84,50304048,True
85,50494368,True
86,48104984,True
87,49896000,True
88,48794216,True
89,49943136,True
90,53972448,True
91,51152536,True
92,48517760,True
93,50980152,True
94,52115472,True
95,51995984,True
96,49354664,True
97,49872024,True
98,48873600,True
99,50369960,True
100,49423968,True
101,47637160,True
102,49624624,True
103,49304616,True
104,50178368,True
105,53005520,True
106,48869632,True
107,47722272,True
108,50221904,True
109,51530912,True
110,48907376,True
111,49000656,True
112,50900208,True
113,51144336,True
114,51585256,True
115,50615960,True
116,51306024,True
117,47894000,True
118,48393848,True
119,50022984,True
120,45549512,True
121,50095672,True
122,52603120,True
123,51280496,True
124,54188576,True
125,51810704,True
126,50706072,True
127,50282648,True
128,49728304,True
129,46591984,True
130,46381888,True
131,49542240,True
132,49529984,True
133,49515104,True
134,47877912,True
135,48766944,True
136,52401080,True
137,51991400,True
138,48018568,True
139,50930312,True
140,52742632,True
141,46627336,True
142,50986944,True
143,49916144,True
144,50718000,True
145,54115568,True
146,47781824,True
147,48307616,True
148,49009272,True
149,49366224,True
150,47216928,True
151,326912,False
