second,studio_bps,sdk_bps
0,190913472.0,155705256.0
1,171711408.0,147457240.0
2,189244320.0,173485296.0
3,161529360.0,159063280.0
4,154794432.0,161034984.0
5,138051376.0,149395416.0
6,145957472.0,149596744.0
7,152603760.0,152334040.0
8,155573136.0,143139600.0
9,165282832.0,140472176.0
10,151054056.0,149354128.0
11,153368008.0,146990560.0
12,165171256.0,144281440.0
13,159938848.0,141228296.0
14,154920544.0,146928776.0
15,162342368.0,146381728.0
16,156322384.0,137140048.0
17,158800208.0,145155232.0
18,163183080.0,146931688.0
19,155499896.0,143307064.0
20,171005896.0,146986336.0
21,152656904.0,139693944.0
22,122080128.0,122465280.0
