second,bits,complete_second
0,155024208,True
1,164515416,True
2,141052784,True
3,156438792,True
4,146864384,True
5,174101752,True
6,159047216,True
7,160767800,True
8,148935192,True
9,149948120,True
10,152142752,True
11,142429240,True
12,140433192,True
13,150859944,True
14,146165432,True
15,144048016,True
16,141470232,True
17,147069648,True
18,145626720,True
19,137617152,True
20,145685640,True
21,146543528,True
22,143937064,True
23,146606912,True
24,139022280,True
25,121319560,True
26,92404776,True
27,137568216,True
28,132730064,True
29,55866688,False
