second,studio_bps,sdk_bps
0,190913472.0,180828552.0
1,171711408.0,170263536.0
2,189244320.0,192586872.0
3,161529360.0,170772544.0
4,154794432.0,155322784.0
5,138051376.0,134536664.0
6,145957472.0,136224672.0
7,152603760.0,138266848.0
8,155573136.0,154917592.0
9,165282832.0,164188864.0
10,151054056.0,152301456.0
11,153368008.0,156386320.0
12,165171256.0,147800824.0
13,159938848.0,153929648.0
14,154920544.0,168344192.0
15,162342368.0,167092560.0
16,156322384.0,154283960.0
17,158800208.0,157215832.0
18,163183080.0,168708840.0
19,155499896.0,149327880.0
20,171005896.0,171842200.0
21,152656904.0,152152456.0
22,122080128.0,123592584.0
