second,studio_bps,sdk_bps
0,190913472.0,181736024.0
1,171711408.0,174881960.0
2,189244320.0,192653184.0
3,161529360.0,170873096.0
4,154794432.0,155388712.0
5,138051376.0,134539440.0
6,145957472.0,131474208.0
7,152603760.0,149255456.0
8,155573136.0,153243232.0
9,165282832.0,158562320.0
10,151054056.0,152237544.0
11,153368008.0,149297616.0
12,165171256.0,152432816.0
13,159938848.0,157260680.0
14,154920544.0,169241208.0
15,162342368.0,166342728.0
16,156322384.0,137660728.0
17,158800208.0,159185448.0
18,163183080.0,168718752.0
19,155499896.0,147857344.0
20,171005896.0,176135352.0
21,152656904.0,152133984.0
22,122080128.0,127510000.0
