second,bits,complete_second
0,158589640,True
1,179275352,True
2,149677392,True
3,182681552,True
4,173476848,True
5,192505760,True
6,170117688,True
7,154737904,True
8,133976464,True
9,132252624,True
10,149125056,True
11,153438552,True
12,159305696,True
13,151387024,True
14,148919312,True
15,152791064,True
16,158482344,True
17,168695168,True
18,165271552,True
19,138194728,True
20,159605864,True
21,169116216,True
22,147748224,True
23,176127616,True
24,151672360,True
25,125759680,True
26,117104104,True
27,144492736,True
28,141901872,True
29,74676656,False
