second,bits,complete_second
0,158578672,True
1,182645648,True
2,149967440,True
3,182561080,True
4,168864552,True
5,192439344,True
6,170012712,True
7,154676664,True
8,133966456,True
9,136852872,True
10,139060904,True
11,155162056,True
12,164113528,True
13,151459352,True
14,156596968,True
15,147000088,True
16,155707392,True
17,168521024,True
18,165300808,True
19,154651816,True
20,157814728,True
21,169099464,True
22,148616224,True
23,172434792,True
24,151690272,True
25,121839104,True
26,114230784,True
27,145829152,True
28,142482448,True
29,71111264,False
