second,studio_bps,sdk_bps
0,190913472.0,171169600.0
1,171711408.0,167650344.0
2,189244320.0,184837544.0
3,161529360.0,170380632.0
4,154794432.0,162514728.0
5,138051376.0,151187664.0
6,145957472.0,166460104.0
7,152603760.0,164338888.0
8,155573136.0,152747752.0
9,165282832.0,158514696.0
10,151054056.0,165030072.0
11,153368008.0,167937288.0
12,165171256.0,162019584.0
13,159938848.0,151068208.0
14,154920544.0,161636072.0
15,162342368.0,155328032.0
16,156322384.0,148567704.0
17,158800208.0,158191544.0
18,163183080.0,162835352.0
19,155499896.0,152669088.0
20,171005896.0,157936392.0
21,152656904.0,154263808.0
22,122080128.0,132674352.0
