second,bits,complete_second
0,168294896,True
1,178699784,True
2,148989384,True
3,172489936,True
4,166982208,True
5,184737920,True
6,170347512,True
7,162459216,True
8,150730664,True
9,166662448,True
10,164303016,True
11,152784336,True
12,158455240,True
13,165801024,True
14,167720816,True
15,160979504,True
16,151364704,True
17,162644592,True
18,154614168,True
19,148278968,True
20,158558280,True
21,163374720,True
22,152374864,True
23,157604120,True
24,153702864,True
25,131948368,True
26,102228736,True
27,136136904,True
28,147975664,True
29,63609936,False
