second,studio_bps,sdk_bps
0,190913472.0,181787056.0
1,171711408.0,173828224.0
2,189244320.0,194064432.0
3,161529360.0,170731104.0
4,154794432.0,155116240.0
5,138051376.0,134329704.0
6,145957472.0,135385112.0
7,152603760.0,137358144.0
8,155573136.0,154743648.0
9,165282832.0,156208624.0
10,151054056.0,158015936.0
11,153368008.0,158996976.0
12,165171256.0,148308800.0
13,159938848.0,156586808.0
14,154920544.0,166727704.0
15,162342368.0,165498464.0
16,156322384.0,154096736.0
17,158800208.0,156820120.0
18,163183080.0,168211208.0
19,155499896.0,154140304.0
20,171005896.0,170378608.0
21,152656904.0,151941648.0
22,122080128.0,124108480.0
