second,bits,complete_second
0,158411512,True
1,180997504,True
2,147731032,True
3,183515872,True
4,172433000,True
5,193908792,True
6,169976352,True
7,154474760,True
8,133761168,True
9,136010912,True
10,138147888,True
11,154991608,True
12,155355488,True
13,158563528,True
14,158596432,True
15,147490376,True
16,157604488,True
17,166384952,True
18,165006528,True
19,154454632,True
20,157416048,True
21,168598160,True
22,153893464,True
23,170512832,True
24,151490144,True
25,122357160,True
26,113560432,True
27,142731976,True
28,142395816,True
29,70979008,False
