second,studio_bps,sdk_bps
0,190913472.0,170972136.0
1,171711408.0,167591280.0
2,189244320.0,184724272.0
3,161529360.0,170230752.0
4,154794432.0,162349848.0
5,138051376.0,150536208.0
6,145957472.0,166076688.0
7,152603760.0,163883440.0
8,155573136.0,152320584.0
9,165282832.0,157912232.0
10,151054056.0,166423776.0
11,153368008.0,167558224.0
12,165171256.0,163985656.0
13,159938848.0,153527512.0
14,154920544.0,160417544.0
15,162342368.0,154387264.0
16,156322384.0,148259792.0
17,158800208.0,158587072.0
18,163183080.0,163305760.0
19,155499896.0,152144104.0
20,171005896.0,157371696.0
21,152656904.0,150905848.0
22,122080128.0,133778376.0
