second,bits,complete_second
0,168294552,True
1,179128416,True
2,148420864,True
3,172296536,True
4,166924544,True
5,184615600,True
6,170196080,True
7,162302272,True
8,150065608,True
9,166280208,True
10,163856104,True
11,152343096,True
12,157838624,True
13,167213280,True
14,167349352,True
15,163721432,True
16,153049240,True
17,161427608,True
18,153674176,True
19,147968096,True
20,158952432,True
21,163840088,True
22,151844704,True
23,157047696,True
24,151050304,True
25,132348632,True
26,102827376,True
27,154520560,True
28,142002216,True
29,62638272,False
