second,studio_bps,sdk_bps
0,190913472.0,170746664.0
1,171711408.0,167438448.0
2,189244320.0,184658480.0
3,161529360.0,170260928.0
4,154794432.0,162340240.0
5,138051376.0,150984936.0
6,145957472.0,166218040.0
7,152603760.0,164057544.0
8,155573136.0,152507560.0
9,165282832.0,158233368.0
10,151054056.0,166068352.0
11,153368008.0,167716320.0
12,165171256.0,163351888.0
13,159938848.0,152182024.0
14,154920544.0,161405584.0
15,162342368.0,155044304.0
16,156322384.0,148355904.0
17,158800208.0,158611272.0
18,163183080.0,163261144.0
19,155499896.0,152288416.0
20,171005896.0,157581216.0
21,152656904.0,154039528.0
22,122080128.0,133260104.0
