second,bits,complete_second
0,167779904,True
1,179602368,True
2,147981976,True
3,172073016,True
4,166773608,True
5,184555528,True
6,170224400,True
7,162288144,True
8,150531872,True
9,166417304,True
10,164013760,True
11,152555240,True
12,158161008,True
13,166843048,True
14,167501560,True
15,162313920,True
16,152476448,True
17,162417624,True
18,154332280,True
19,148062976,True
20,158973184,True
21,163796384,True
22,151990544,True
23,157256248,True
24,154191904,True
25,131824224,True
26,102002288,True
27,135816056,True
28,149946552,True
29,65366200,False
