second,studio_bps,sdk_bps
0,190913472.0,170921624.0
1,171711408.0,167611400.0
2,189244320.0,184824584.0
3,161529360.0,170451368.0
4,154794432.0,162427680.0
5,138051376.0,150914064.0
6,145957472.0,166216136.0
7,152603760.0,164094608.0
8,155573136.0,152562856.0
9,165282832.0,158285800.0
10,151054056.0,164795104.0
11,153368008.0,167770176.0
12,165171256.0,163312128.0
13,159938848.0,152133264.0
14,154920544.0,161429424.0
15,162342368.0,155107848.0
16,156322384.0,148342736.0
17,158800208.0,158631432.0
18,163183080.0,163241576.0
19,155499896.0,152328384.0
20,171005896.0,157635104.0
21,152656904.0,154092224.0
22,122080128.0,132023008.0
