second,bits,complete_second
0,167883184,True
1,179734048,True
2,148134320,True
3,172239616,True
4,166955912,True
5,184716040,True
6,170416296,True
7,162376040,True
8,150451896,True
9,166410472,True
10,164069064,True
11,152594624,True
12,158229568,True
13,165558704,True
14,167555776,True
15,162275312,True
16,152432040,True
17,162428736,True
18,154405592,True
19,148056016,True
20,158982952,True
21,163786456,True
22,152033320,True
23,157303664,True
24,154243632,True
25,130585744,True
26,102463808,True
27,135887680,True
28,150834544,True
29,63349168,False
