second,studio_bps,sdk_bps
0,190913472.0,175734120.0
1,171711408.0,168566728.0
2,189244320.0,174575552.0
3,161529360.0,168802384.0
4,154794432.0,162617640.0
5,138051376.0,152115280.0
6,145957472.0,165299072.0
7,152603760.0,159271168.0
8,155573136.0,153625496.0
9,165282832.0,159120208.0
10,151054056.0,167789632.0
11,153368008.0,161114080.0
12,165171256.0,157880520.0
13,159938848.0,148043896.0
14,154920544.0,161766136.0
15,162342368.0,156332976.0
16,156322384.0,153399672.0
17,158800208.0,156712792.0
18,163183080.0,156533048.0
19,155499896.0,155652160.0
20,171005896.0,152298120.0
21,152656904.0,150913336.0
22,122080128.0,136999120.0
