second,bits,complete_second
0,176408768,True
1,179825504,True
2,163018424,True
3,175797456,True
4,167755120,True
5,174575992,True
6,168954888,True
7,162719496,True
8,151773320,True
9,165691952,True
10,158993208,True
11,153603056,True
12,159107608,True
13,168573904,True
14,161137056,True
15,156656848,True
16,148292128,True
17,162366048,True
18,155370512,True
19,153920408,True
20,157134480,True
21,156174136,True
22,156287160,True
23,152259240,True
24,149869712,True
25,136722904,True
26,122077656,True
27,149870616,True
28,152897064,True
29,63160400,False
