second,bits,complete_second
0,49139384,True
1,58859136,True
2,57633480,True
3,57377712,True
4,44168696,True
5,53869320,True
6,49671024,True
7,50913088,True
8,45626912,True
9,53803224,True
10,49429064,True
11,45916720,True
12,54312672,True
13,53665360,True
14,45108872,True
15,47279512,True
16,53276472,True
17,49065144,True
18,46064024,True
19,56043760,True
20,49352664,True
21,49400312,True
22,50761216,True
23,50694272,True
24,48730048,True
25,50277760,True
26,50498944,True
27,48780104,True
28,49013384,True
29,54994448,True
30,45928184,True
31,50642872,True
32,48717736,True
33,53245360,True
34,47520592,True
35,47814288,True
36,50309208,True
37,51572104,True
38,50256864,True
39,53293656,True
40,46728744,True
41,47201240,True
42,54472400,True
43,50506408,True
44,49365184,True
45,53572824,True
46,45627232,True
47,50960936,True
48,47141976,True
49,55602016,True
50,49790232,True
51,49801400,True
52,46659816,True
53,50115440,True
54,52565856,True
55,46388640,True
56,51644216,True
57,47921096,True
58,52792512,True
59,44880560,True
60,55419016,True
61,48134368,True
62,50835056,True
63,52462408,True
64,46934400,True
65,49119720,True
66,51883688,True
67,48768440,True
68,52599256,True
69,49081784,True
70,51130368,True
71,46295416,True
72,50058016,True
73,49896248,True
74,51620904,True
75,48299560,True
76,52600912,True
77,52251856,True
78,48081328,True
79,49327512,True
80,51783296,True
81,45423376,True
82,52289992,True
83,52398048,True
84,47095080,True
85,53851936,True
86,44428464,True
87,55096984,True
88,50635136,True
89,50069616,True
90,46536680,True
91,52915712,True
92,46391184,True
93,74889816,True
94,50775808,True
95,49230752,True
96,49883192,True
97,48983784,True
98,57338536,True
99,43126464,True
100,56683104,True
101,44251280,True
102,49005752,True
103,51207792,True
104,50574400,True
105,50632896,True
106,48151296,True
107,46856712,True
108,56788192,True
109,49569720,True
110,47756976,True
111,49422616,True
112,49851360,True
113,50616248,True
114,51309288,True
115,50745344,True
116,50887536,True
117,48519528,True
118,49868976,True
119,48497448,True
120,49955440,True
121,49412400,True
122,52535816,True
123,49152936,True
124,35949672,True
125,42524360,True
126,44401656,True
127,53509984,True
128,48262016,True
129,50093000,True
130,51271016,True
131,49562472,True
132,51352488,True
133,46852776,True
134,54039448,True
